	city	latitude	longitude
0	China	35.000074	104.999927
1	Oregon	43.9792797	-120.737257
2	Us	39.7837304	-100.445882
3	Ellenville	41.7170379	-74.39571
4	Mori	45.8524443	10.9782754
5	California	36.7014631	-118.755997
6	Reno	39.5261206	-119.8126581
7	Energy	37.7740055	-89.0266269
8	China	35.000074	104.999927
9	Chilliwack	49.157677	-121.95143
10	Us	39.7837304	-100.445882
11	Us	39.7837304	-100.445882
12	Midwest	43.411391	-106.280075
13	Amherst	42.3685658	-72.505714
14	Oregon	43.9792797	-120.737257
15	Oregon	43.9792797	-120.737257
16	Chongqing	29.5647398	106.5478767
17	Chongqing	29.5647398	106.5478767
18	Canada	61.0666922	-107.991707
19	Angeles	15.1399659	120.5879182
20	California	36.7014631	-118.755997
21	Canada	61.0666922	-107.991707
22	Salmon	45.1757547	-113.8959008
23	Montana	47.3752671	-109.638757
24	California	36.7014631	-118.755997
25	Berkeley	37.8753497	-122.23963364918777
26	California	36.7014631	-118.755997
27	Us	39.7837304	-100.445882
28	Us	39.7837304	-100.445882
29	Granada	37.1734995	-3.5995337
30	Spain	39.3260685	-4.8379791
31	Colorado	38.7251776	-105.607716
32	Oregon	43.9792797	-120.737257
33	Oregon	43.9792797	-120.737257
34	Bureau	41.4016294	-89.5341179
35	California	36.7014631	-118.755997
36	Healdsburg	38.653839000000005	-122.89993194340181
37	Bureau	41.4016294	-89.5341179
38	Helena	46.5927425	-112.036277
39	Cave	41.8179234	12.9283673
40	Us	39.7837304	-100.445882
41	Oregon	43.9792797	-120.737257
42	California	36.7014631	-118.755997
43	Washington	38.8950368	-77.0365427
44	California	36.7014631	-118.755997
45	Totnes	50.4322816	-3.6871525
46	Devon	50.724140500000004	-3.6607788161410735
47	Totnes	50.4322816	-3.6871525
48	Moscow	55.7504461	37.6174943
49	Mount Helena	46.5879823	-112.0654858
50	Oregon	43.9792797	-120.737257
51	Mobile	30.6867339	-88.0848929
52	China	35.000074	104.999927
53	Us	39.7837304	-100.445882
54	Us	39.7837304	-100.445882
55	Usa	39.7837304	-100.445882
56	Us	39.7837304	-100.445882
57	China	35.000074	104.999927
58	Chongqing	29.5647398	106.5478767
59	China	35.000074	104.999927
60	Eu	50.0491699	1.4175744
61	Chongqing	29.5647398	106.5478767
62	China	35.000074	104.999927
